date,Java,Administration,.NET,Web,AutoCAD,XML,Datenbanken,Programmiersprachen,Netzwerke,Design,Mobile Geräte,Objektorientierung,Office,Notes,SAP,Linux
2009-01-01,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2009-04-01,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2009-05-01,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2009-07-01,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-08-01,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
2009-09-01,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0
2009-10-01,2,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
2009-11-01,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-03-01,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2010-04-01,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2010-06-01,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
2010-07-01,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2010-08-01,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2010-10-01,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,5,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
2010-12-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-02-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
2011-04-01,10,1,0,4,0,0,1,0,3,0,2,1,1,1,0,0
2011-05-01,2,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0
2011-06-01,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011-07-01,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-08-01,6,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
2011-09-01,13,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0
2011-10-01,10,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0
2011-11-01,6,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2011-12-01,13,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0
2012-01-01,8,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
2012-02-01,15,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0
2012-03-01,18,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0
2012-04-01,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-05-01,18,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2012-06-01,9,0,0,1,0,0,1,3,2,0,1,1,0,0,0,0
2012-07-01,9,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2012-08-01,5,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0
2012-09-01,12,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0
2012-10-01,9,1,0,0,0,1,4,1,0,0,1,0,1,0,0,0
2012-11-01,6,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0
2012-12-01,17,1,0,3,0,2,2,4,0,0,2,0,0,0,1,0
2013-01-01,9,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2013-02-01,11,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0
2013-03-01,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,11,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0
2013-05-01,5,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0
2013-06-01,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2013-07-01,6,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0
2013-08-01,18,0,0,0,2,2,0,1,3,0,0,2,1,0,0,1
2013-09-01,8,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0
2013-10-01,14,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
2013-11-01,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
2013-12-01,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-01,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2014-02-01,14,2,1,0,0,0,4,1,0,0,1,1,1,1,1,0
2014-03-01,11,1,1,2,0,0,3,0,1,0,0,2,0,0,0,0
2014-04-01,16,0,1,4,0,2,0,1,0,0,0,0,1,1,0,0
2014-05-01,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-01,19,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0
2014-07-01,4,2,0,1,0,0,3,0,0,0,0,0,1,0,0,0
2014-08-01,10,1,0,3,0,0,1,2,0,0,1,0,0,0,0,0
2014-09-01,13,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-01,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014-11-01,4,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
2014-12-01,13,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2015-01-01,12,1,1,2,0,0,1,0,1,0,1,1,0,0,0,0
2015-02-01,12,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0
2015-03-01,5,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2015-04-01,11,0,0,2,0,0,2,0,5,0,1,1,0,0,0,0
2015-05-01,12,1,0,2,0,0,3,0,0,0,0,0,0,2,0,0
2015-06-01,17,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0
2015-07-01,5,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0
2015-08-01,7,0,1,4,1,0,2,1,1,0,2,0,0,0,1,0
2015-09-01,8,1,0,2,0,0,0,0,0,0,0,1,0,3,0,0
2015-10-01,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015-11-01,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-12-01,10,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
2016-01-01,4,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0
2016-02-01,9,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1
2016-03-01,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,8,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0
2016-05-01,9,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
2016-06-01,9,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1
2016-07-01,10,0,0,2,0,0,1,1,0,0,0,1,0,0,1,0
2016-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016-10-01,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
2016-11-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,1,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0
2017-01-01,4,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0
2017-02-01,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-03-01,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,9,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2017-05-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2017-08-01,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2017-09-01,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-10-01,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2017-11-01,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-12-01,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2018-01-01,5,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2018-02-01,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2018-05-01,7,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2018-06-01,6,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0
2018-07-01,12,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-01,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2018-09-01,6,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
2018-10-01,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-11-01,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-12-01,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-01-01,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
